Licence No.,Licensee,Street#,Street Name,Unit,City,Postal Code,Bus. Phone,Operating As,Ward,Category
P90-4313323,OASIS ADDICTION RECOVERY SOCIETY,128,EIGHTH ST,,"TORONTO, ON",M8V 3C4,(416) 751-0553,,6,CLOTHING DROP BOX LOCATION PERMIT
P90-4313326,OASIS ADDICTION RECOVERY SOCIETY,243,ALBERTA AVE,,"TORONTO, ON",M6C 3X4,(416) 751-0553,,17,CLOTHING DROP BOX LOCATION PERMIT
P90-4313329,OASIS ADDICTION RECOVERY SOCIETY,140,ANTIBES DR,,"TORONTO, ON",M2R 3J3,(416) 751-0553,,10,CLOTHING DROP BOX LOCATION PERMIT
P90-4313330,OASIS ADDICTION RECOVERY SOCIETY,265,ARMADALE AVE,,"TORONTO, ON",M6S 3X5,(416) 751-0553,,13,CLOTHING DROP BOX LOCATION PERMIT
P90-4313333,OASIS ADDICTION RECOVERY SOCIETY,80,ARBORETUM LANE,,"TORONTO, ON",M3J 1P3,(416) 751-0553,,8,CLOTHING DROP BOX LOCATION PERMIT
P90-4313334,,90,ATKINSON RD,,"TORONTO, ON",M3J 2S5,(416) 751-0553,,8,CLOTHING DROP BOX LOCATION PERMIT
P90-4313337,OASIS ADDICTION RECOVERY SOCIETY,494,AVENUE RD,,"TORONTO, ON",M4V 2J5,(416) 751-0553,,22,CLOTHING DROP BOX LOCATION PERMIT
P90-4313338,OASIS ADDICTION RECOVERY SOCIETY,25,BAMBURGH CIR,,"TORONTO, ON",M1W 3W2,(416) 751-0553,,39,CLOTHING DROP BOX LOCATION PERMIT
P90-4313340,OASIS ADDICTION RECOVERY SOCIETY,75,BAMBURGH CIR,,"TORONTO, ON",M1W 3W1,(416) 751-0553,,39,CLOTHING DROP BOX LOCATION PERMIT
P90-4313341,OASIS ADDICTION RECOVERY SOCIETY,125,BAMBURGH CIR,,"TORONTO, ON",M1W 3G4,(416) 751-0553,,39,CLOTHING DROP BOX LOCATION PERMIT
P90-4313342,OASIS ADDICTION RECOVERY SOCIETY,186,BARTLEY DR,,"TORONTO, ON",M4A 1E1,(416) 751-0553,,34,CLOTHING DROP BOX LOCATION PERMIT
P90-4313343,OASIS ADDICTION RECOVERY SOCIETY,761,BAY ST,,"TORONTO, ON",M5G 2R2,(416) 751-0553,,27,CLOTHING DROP BOX LOCATION PERMIT
P90-4313344,OASIS ADDICTION RECOVERY SOCIETY,763,BAY ST,,"TORONTO, ON",M5G 2R3,(416) 751-0553,,27,CLOTHING DROP BOX LOCATION PERMIT
P90-4313345,OASIS ADDICTION RECOVERY SOCIETY,925,BAY ST,,"TORONTO, ON",M5S 3L4,(416) 751-0553,,27,CLOTHING DROP BOX LOCATION PERMIT
P90-4313347,OASIS ADDICTION RECOVERY SOCIETY,385,PACIFIC AVE,,"TORONTO, ON",M6P 2R2,(416) 751-0553,,13,CLOTHING DROP BOX LOCATION PERMIT
P90-4313349,OASIS ADDICTION RECOVERY SOCIETY,3,PEMBERTON AVE,,"TORONTO, ON",M2M 4M1,(416) 751-0553,,24,CLOTHING DROP BOX LOCATION PERMIT
P90-4313350,OASIS ADDICTION RECOVERY SOCIETY,991,PAPE AVE,,"TORONTO, ON",M4K 3V6,(416) 751-0553,,29,CLOTHING DROP BOX LOCATION PERMIT
